Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Exp. Protein q-value: Combined,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,MW [kDa],Gene Symbol,"Abundance Ratio: (Heavy, Soluble_S59L-Treat) / (Light, Soluble_S59L-Treat)","Abundance Ratio: (Heavy, Soluble_S59L-WT) / (Light, Soluble_S59L-WT)","Abundance Ratio P-Value: (Heavy, Soluble_S59L-Treat) / (Light, Soluble_S59L-Treat)","Abundance Ratio P-Value: (Heavy, Soluble_S59L-WT) / (Light, Soluble_S59L-WT)","Abundance: F9: Light, Sample, S8, Soluble_S59L-Treat, 4","Abundance: F11: Light, Sample, S7, Soluble_S59L-Treat, 3","Abundance: F13: Light, Sample, S6, Soluble_S59L-Treat, 2","Abundance: F15: Light, Sample, S5, Soluble_S59L-Treat, 1","Abundance: F10: Light, Sample, S4, Soluble_S59L-WT, 4","Abundance: F12: Light, Sample, S3, Soluble_S59L-WT, 3","Abundance: F14: Light, Sample, S2, Soluble_S59L-WT, 2","Abundance: F16: Light, Sample, S1, Soluble_S59L-WT, 1","Abundance: F9: Heavy, Sample, S8, Soluble_S59L-Treat, 4","Abundance: F11: Heavy, Sample, S7, Soluble_S59L-Treat, 3","Abundance: F13: Heavy, Sample, S6, Soluble_S59L-Treat, 2","Abundance: F15: Heavy, Sample, S5, Soluble_S59L-Treat, 1","Abundance: F10: Heavy, Sample, S4, Soluble_S59L-WT, 4","Abundance: F12: Heavy, Sample, S3, Soluble_S59L-WT, 3","Abundance: F14: Heavy, Sample, S2, Soluble_S59L-WT, 2","Abundance: F16: Heavy, Sample, S1, Soluble_S59L-WT, 1",Modifications,WikiPathways,Reactome Pathways
FALSE,High,Master Protein,Q9Z1K5,E3 ubiquitin-protein ligase ARIH1 [OS=Mus musculus],0,26.184,20,7,28,7,64,Arih1,1000,1000,,,,,,,,,,,9198539,6749447.5,7573037.5,9340117,3564054.5,,,4909194,,,PKR-mediated signaling; Modulation of host responses by IFN-stimulated genes; ISG15 antiviral mechanism
FALSE,High,Master Protein,Q9JLM9,Growth factor receptor-bound protein 14 [OS=Mus musculus],0,26.162,26,9,29,9,60.5,Grb14,1000,1000,,,,,,,,,,,4633776,5633019,5430382.5,3417539.75,,2079501.125,,2683165.25,,EGFR1 signaling pathway; Insulin signaling,Tie2 Signaling
FALSE,High,Master Protein,Q9R0A0,Peroxisomal membrane protein PEX14 [OS=Mus musculus],0,26.157,22,5,22,5,41.2,Pex14,2.249,,0.013341376,,8764383.5,4032508.5,3010789,2566370.75,,,,,14585492.75,7972286,10452413,6565845.25,,,,,,,Class I peroxisomal membrane protein import; E3 ubiquitin ligases ubiquitinate target proteins; Peroxisomal protein import
FALSE,High,Master Protein,Q5GIG6,Serine/threonine-protein kinase TNNI3K [OS=Mus musculus],0,26.143,19,10,27,10,92.5,Tnni3k,1000,1000,,,,,,,,,,,,9269170.5,5451026.5,8478675.75,3490834.25,5062641.5,,6219625.5,,,
FALSE,High,Master Protein,P50580,Proliferation-associated protein 2G4 [OS=Mus musculus],0,26.13,18,6,32,6,43.7,Pa2g4,3.067,1000,0.029124639,,7630071.5,18183654.5,12374224.5,15919946,,3873621.25,,,31388025,23929164.5,41961426,44149987.5,,,4858028.5,10216618,,Androgen receptor signaling pathway,Neutrophil degranulation
FALSE,High,Master Protein,P63321,Ras-related protein Ral-A [OS=Mus musculus],0,26.125,26,5,49,3,23.5,Rala,3.328,1.482,0.005911078,0.685868341,9890153,12592554.25,4636291.5,7569189.5,26421638.75,10367129.75,,13653834,31361210.5,28832018,24751765,26437118,3924221.75,10469472,12240863.25,29690510,,,
FALSE,High,Master Protein,Q99L04,Dehydrogenase/reductase SDR family member 1 [OS=Mus musculus],0,26.017,31,7,34,7,34,Dhrs1,0.001,0.001,,,6063779.5,3689573.75,4412352,5780661,6219698,,,,3360725,,,,,,,,,,
FALSE,High,Master Protein,Q9WUL7,ADP-ribosylation factor-like protein 3 [OS=Mus musculus],0,25.964,59,8,40,8,20.5,Arl3,4.485,2.426,0.002732214,0.012095864,24957931.75,11407384.5,9053899.25,14933700,4574662,7828943.25,5423227,7833381.5,64215627,53068194.25,45443995.25,64560915,15651085.69,24247643.06,9777463.25,14886024.75,,,Trafficking of myristoylated proteins to the cilium
FALSE,High,Master Protein,P28653,Biglycan [OS=Mus musculus],0,25.952,31,9,45,8,41.6,Bgn,5.377,7.603,0.000546268,0.001101827,13871888,14353880.25,10384552.5,16331881,2420964,2753539.75,4043091,16405006,70754428,81369727,77774889.5,73457546,17449772.5,26797400.5,32429140.75,76000182,,,ECM proteoglycans; Glycosaminoglycan-protein linkage region biosynthesis; CS/DS degradation; CS-GAG biosynthesis; DS-GAG biosynthesis
FALSE,High,Master Protein,Q9CYN2,Signal peptidase complex subunit 2 [OS=Mus musculus],0,25.899,38,6,32,6,25,Spcs2,1.546,1.66,0.356017906,0.044527312,,1672871.5,1228658.5,2159422,1014728.438,,1059902.625,839380.5625,2839104.5,3397641.5,,2541814,,,1899042.625,1393362.75,,,"Regulation of CDH1 posttranslational processing and trafficking to plasma membrane; Synthesis, secretion, and deacylation of Ghrelin"
FALSE,High,Master Protein,P85094,Isochorismatase domain-containing protein 2A [OS=Mus musculus],0,25.884,36,4,37,4,22.4,Isoc2a,1.063,0.074,0.714687414,0.000283085,4240572,4190037.25,3312457.75,3541015.25,86252870,67159354,74995866,58767194,4349324.5,3233327,4616529.5,3904426.25,4216820.5,4956755.5,5624681.5,5453975,,,
FALSE,High,Master Protein,Q9JJL8,"Serine--tRNA ligase, mitochondrial [OS=Mus musculus]",0,25.867,14,5,26,5,58.3,Sars2,0.001,0.027,,0.082582663,1779259.125,,,,2973972.25,2800446.5,2627154.75,2500426.5,,,,,,,1932553.625,1974412.25,,Selenium metabolism / selenoproteins,
FALSE,High,Master Protein,Q8C7H1,"Methylmalonic aciduria type A homolog, mitochondrial [OS=Mus musculus]",0,25.86,21,7,30,7,45.9,Mmaa,1000,31.415,,,,,,,5038413.5,3190958.5,,,7116213.5,4833158,,,,3149079.25,3340200.5,4377088.5,,,Cobalamin (Cbl) metabolism; Propionyl-CoA catabolism
FALSE,High,Master Protein,Q9CQC9,Small COPII coat GTPase SAR1B [OS=Mus musculus],0,25.857,53,7,42,5,22.4,Sar1b,0.25,0.385,0.000144212,0.000466756,194955050,192595500,168951992.5,147819508.5,83968350.5,87479506.5,114273130.5,91053708,46818882,39323922,44261644,38326012,32379786,33617695,37329508,39409672,,,"MHC class II antigen presentation; COPII-mediated vesicle transport; Antigen Presentation: Folding, assembly and peptide loading of class I MHC; Chylomicron assembly; Cargo concentration in the ER"
FALSE,High,Master Protein,Q9JK48,Endophilin-B1 [OS=Mus musculus],0,25.812,25,8,43,7,40.8,Sh3glb1,1000,1000,,,,,,,,,,,29417719,21309463.5,29834805,27048365,11918842,8564552,18521799,19300901.5,,,
FALSE,High,Master Protein,Q8K215,LYR motif-containing protein 4 [OS=Mus musculus],0,25.774,57,5,47,5,10.8,Lyrm4,1.302,0.261,0.040844083,0.001510642,21602873.5,18236186,19301736.5,15035377.5,29813034,29532875,31464769,29436739.5,23661068,24234170,24636408,24217066,6308799.25,7547453.75,8365866.75,10906069.5,,,Mitochondrial iron-sulfur cluster biogenesis; Maturation of TCA enzymes and regulation of TCA cycle; Complex III assembly
FALSE,High,Master Protein,Q99LS3,Phosphoserine phosphatase [OS=Mus musculus],0,25.76,47,9,37,9,25.1,Psph,1000,,,,,,,,,,,,23451538,21248584,20851596,17992058,,,,,Acetyl [N-Term]; Met-loss+Acetyl [N-Term],,Serine metabolism
FALSE,High,Master Protein,Q61581,Insulin-like growth factor-binding protein 7 [OS=Mus musculus],0,25.743,21,4,24,4,29,Igfbp7,4.51,1000,0.005488431,,1842315.625,2338123.5,,2762653.5,,,,,8855817.5,9895008.5,12172944.5,9283749.75,,1349482.375,,3252556.25,,Factors and pathways affecting insulin-like growth factor (IGF1)-Akt signaling,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs); Post-translational protein phosphorylation
FALSE,High,Master Protein,P61211,ADP-ribosylation factor-like protein 1 [OS=Mus musculus],0,25.742,40,6,44,6,20.4,Arl1,2.848,1.905,0.001303899,0.016874634,35688082,39806718,28386834.5,39824801,38038358,29550369.75,31136807,34446131.5,111918202,102960093,100562008.5,95256279,49594896.5,53521315,73247555,69027112,,,Retrograde transport at the Trans-Golgi-Network
FALSE,High,Master Protein,Q9D7A8,Armadillo repeat-containing protein 1 [OS=Mus musculus],0,25.733,26,6,41,6,31.2,Armc1,1.191,0.949,0.069974554,0.42752209,31356216,27404363,26745867,27760394,21521134,23027592,19394738,22435082,35194931,34632878,41242402,30275787,6773210,19857947,22757916,23447698,,,
FALSE,High,Master Protein,Q9D8B3,Charged multivesicular body protein 4b [OS=Mus musculus],0,25.726,39,6,31,6,24.9,Chmp4b,1000,1000,,,,,,,,,,,28734266.5,46418694,28638134,45705875.5,2673634.25,7956288,7657674,17762436,,,Macroautophagy; Sealing of the nuclear envelope (NE) by ESCRT-III; Pyroptosis; Endosomal Sorting Complex Required For Transport (ESCRT)
FALSE,High,Master Protein,Q99N96,Large ribosomal subunit protein uL1m [OS=Mus musculus],0,25.722,26,7,45,7,37.6,Mrpl1,1.615,0.833,0.266172626,0.421136552,9619427,5791270.5,6233747.5,12162604.5,5967818.5,6598272.5,3741220.5,8133436.5,16139369.88,9008183,16665995.75,8252894,4034651.688,3389631.75,4853349,8346145.125,,,Mitochondrial translation elongation; Mitochondrial translation termination; Mitochondrial ribosome-associated quality control
FALSE,High,Master Protein,Q9WUD1,E3 ubiquitin-protein ligase CHIP [OS=Mus musculus],0,25.712,34,8,26,8,34.9,Stub1,,,,,,,,,,,,,,,,,,,,,,Androgen receptor signaling pathway,Antigen processing: Ubiquitination & Proteasome degradation; Regulation of PTEN stability and activity; Regulation of RUNX2 expression and activity; Downregulation of ERBB2 signaling; Downregulation of TGF-beta receptor signaling; Regulation of TNFR1 signaling; Regulation of necroptotic cell death
FALSE,High,Master Protein,Q9CR21,"Acyl carrier protein, mitochondrial [OS=Mus musculus]",0,25.703,15,3,56,3,17.4,Ndufab1,1.426,0.377,0.002873861,0.0045613,70703576,56027016,65356636,56936540,235741950,204878832.5,167126310,195879287.5,89073532,84067329,93818495,80694295,76609141,70898242,92503500,80428907,,Electron transport chain,Complex I biogenesis; Mitochondrial ribosome-associated quality control; Mitochondrial Fatty Acid Beta-Oxidation; Protein lipoylation
FALSE,High,Master Protein,Q8BUY5,"Complex I assembly factor TIMMDC1, mitochondrial [OS=Mus musculus]",0,25.693,28,7,43,7,31.8,Timmdc1,,,,,,,,,,,,,,,,,,,,,,,Complex I biogenesis
FALSE,High,Master Protein,Q9WV85,Nucleoside diphosphate kinase 3 [OS=Mus musculus],0,25.69,54,7,48,7,19.1,Nme3,0.193,0.001,9.16474E-05,,22658919,24606936,23936630,18078507,9487808,5508005,5926338,,4310118.5,4829723.5,5695252,3386119,,,,,,Purine metabolism,Interconversion of nucleotide di- and triphosphates
FALSE,High,Master Protein,Q61029,"Lamina-associated polypeptide 2, isoforms beta/delta/epsilon/gamma [OS=Mus musculus]",0,25.667,23,8,32,8,50.3,Tmpo,0.001,0.001,,,,3648893.5,3462780.25,8090316.5,,,,6863906.5,,,,,,,,,Met-loss [N-Term],,
FALSE,High,Master Protein,Q9QZ57,Heat shock protein beta-3 [OS=Mus musculus],0,25.654,37,4,39,4,17.2,Hspb3,0.777,0.635,0.099726426,0.522326037,12673522,14655800,9673600,15085512,5653870,2818835.5,3547279.25,6260767,10739410,10437674.5,8460375,6822757.5,2144710.75,1991780.125,7811247.75,3573336,,,
FALSE,High,Master Protein,Q9CR24,Mitochondrial coenzyme A diphosphatase NUDT8 [OS=Mus musculus],0,25.617,33,5,38,5,23.2,Nudt8,1000,1000,,,,,,,,,,,30946812,,27649320,24265546,,,11431859,,,,
FALSE,High,Master Protein,Q9CQW1,Synaptobrevin homolog YKT6 [OS=Mus musculus],0,25.598,45,7,35,7,22.3,Ykt6,14.446,9.191,0.001261417,6.31784E-05,1433524.125,2174992.75,3702486.25,2306647.75,3567385.25,2470333.25,3288519.875,4731734.125,44709891.5,24236544,63913119,27883666.5,31307974.75,23780039,28329165.5,55173810.5,,,RHOA GTPase cycle; COPI-mediated anterograde transport; CDC42 GTPase cycle; RAC1 GTPase cycle; RHOG GTPase cycle; RAC3 GTPase cycle; Intra-Golgi traffic; COPII-mediated vesicle transport
FALSE,High,Master Protein,P97355,Spermine synthase [OS=Mus musculus],0,25.597,36,9,52,9,41.3,Sms,8.303,3.612,0.000138549,0.003983007,8539436,6786611,7223971,8648041,6405401,8011849.5,,9171362,65131644,61339038,75176545.25,61742320,19261190.5,26650095.5,30085369.5,35970637.5,,,Metabolism of polyamines
FALSE,High,Master Protein,P62849,Small ribosomal subunit protein eS24 [OS=Mus musculus],0,25.55,35,4,38,4,15.4,Rps24,2.413,0.688,0.001461484,0.474256039,42979318,45804516,37158486,51940790,9244559.5,11405553,3853611.25,21689329,111067180,103225876,115480316,113063844,4562540,8042739,6763985.5,14539225,Acetyl [N-Term],Cytoplasmic ribosomal proteins; mRNA processing,"L13a-mediated translational silencing of Ceruloplasmin expression; SRP-dependent cotranslational protein targeting to membrane; Major pathway of rRNA processing in the nucleolus and cytosol; Formation of a pool of free 40S subunits; GTP hydrolysis and joining of the 60S ribosomal subunit; Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC); Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA; ZNF598 and the Ribosome-associated Quality Trigger (RQT) complex dissociate a ribosome stalled on a no-go mRNA; Translation initiation complex formation; Formation of the ternary complex, and subsequently, the 43S complex; Ribosomal scanning and start codon recognition"
FALSE,High,Master Protein,Q9QZE7,Translin-associated protein X [OS=Mus musculus],0,25.548,33,7,17,7,32.9,Tsnax,1000,1000,,,,,,,,,,,18166804,13445817,6534125,18113068,7853873.5,3832649,6673967,10141556.5,,,Small interfering RNA (siRNA) biogenesis
FALSE,High,Master Protein,Q8BJZ4,Small ribosomal subunit protein mS35 [OS=Mus musculus],0,25.532,24,6,25,6,36,Mrps35,2.661,1.217,0.000369186,0.216191656,4408128,4988634.5,4484092.5,5681701.5,4740483.875,6301329.875,4846394.5,4472329.5,11240994,11871744.5,13734979,15776864,,6200194.75,7289609.75,8554009.5,,,Mitochondrial translation elongation; Mitochondrial translation termination; Mitochondrial ribosome-associated quality control
FALSE,High,Master Protein,P62301,Small ribosomal subunit protein uS15 [OS=Mus musculus],0,25.528,30,5,51,5,17.2,Rps13,2.324,1000,0.001313524,,51570336,43845560,38242233,47017612,,,,,113194296,100415370.5,117631537.5,110851532.5,,11040537,,23736804.5,,Cytoplasmic ribosomal proteins; TNF-alpha NF-kB signaling pathway; mRNA processing,"L13a-mediated translational silencing of Ceruloplasmin expression; SRP-dependent cotranslational protein targeting to membrane; Major pathway of rRNA processing in the nucleolus and cytosol; Formation of a pool of free 40S subunits; GTP hydrolysis and joining of the 60S ribosomal subunit; Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC); Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA; ZNF598 and the Ribosome-associated Quality Trigger (RQT) complex dissociate a ribosome stalled on a no-go mRNA; Translation initiation complex formation; Formation of the ternary complex, and subsequently, the 43S complex; Ribosomal scanning and start codon recognition"
FALSE,High,Master Protein,Q60902,Epidermal growth factor receptor substrate 15-like 1 [OS=Mus musculus],0,25.495,11,7,30,7,99.2,Eps15l1,3.414,26.713,0.061172504,,4192313.75,5428393.75,,2387860.5,8658769.25,,5560426.5,,9012584,12400599.5,12373406.5,12182129.5,6178905.5,3103698.25,,7747962.75,,EGFR1 signaling pathway,EGFR downregulation; Cargo recognition for clathrin-mediated endocytosis
FALSE,High,Master Protein,Q9EPC1,Alpha-parvin [OS=Mus musculus],0,25.493,16,5,43,4,42.3,Parva,0.001,0.001,,,15152039.5,14116348.5,9749785,12924497,15047192,12237893,8320365,13811297,,,,,,,,6985393.5,,Primary focal segmental glomerulosclerosis (FSGS),Localization of the PINCH-ILK-PARVIN complex to focal adhesions; Regulation of cytoskeletal remodeling and cell spreading by IPP complex components
FALSE,High,Master Protein,P28666,Murinoglobulin-2 [OS=Mus musculus],0,25.478,7,8,31,1,162.3,Mug2,0.001,0.001,,,6893550,4917246.5,6923730.5,,2750222.5,3462915,3804890.5,6743823.5,,,,,,,,,,,
FALSE,High,Master Protein,Q9Z0E6,Guanylate-binding protein 2 [OS=Mus musculus],0,25.457,20,8,26,8,66.7,Gbp2,94.38,1000,0.011907575,,,3975816.5,,3736946.5,,,4272847,,24303150.5,32681492,24014798.5,33286893.5,15179297.25,5429757.625,20976020.13,12065897.63,,,
FALSE,High,Master Protein,O54692,Centromere/kinetochore protein zw10 homolog [OS=Mus musculus],0,25.44,12,7,20,7,88,Zw10,1000,,,,,,,,,,,,8426753.5,16429386.5,8957203.75,3857959.75,,,,,Acetyl [N-Term],,COPI-dependent Golgi-to-ER retrograde traffic; Separation of Sister Chromatids; Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal; Resolution of Sister Chromatid Cohesion; RHO GTPases Activate Formins; EML4 and NUDC in mitotic spindle formation
FALSE,High,Master Protein,P11930,Acyl-coenzyme A diphosphatase NUDT19 [OS=Mus musculus],0,25.439,32,7,36,7,40.3,Nudt19,1000,,,,,,,,,,,,5624071.5,4562194,5971743,5146335,,,,,,,Peroxisomal protein import; Peroxisomal lipid metabolism
FALSE,High,Master Protein,Q9CX80,Cytoglobin [OS=Mus musculus],0,25.329,44,9,41,9,21.5,Cygb,4.132,75.258,0.000473133,0.072284208,12489976,15937674,10806208,16626417,,1612168,,2641941.75,50163397,64916403,63316784,69693020.5,4346586,6402347,8037988.75,14963410,,,Intracellular oxygen transport; eNOS activation
FALSE,High,Master Protein,P49442,Inositol polyphosphate 1-phosphatase [OS=Mus musculus],0,25.328,21,6,24,6,43.3,Inpp1,1000,1000,,,,,,,,,,,17002782.5,,17023249,17837111.5,,1462105,12109426,3079242.25,,,"Synthesis of IP2, IP, and Ins in the cytosol"
FALSE,High,Master Protein,Q9JKL4,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3 [OS=Mus musculus],0,25.32,41,5,42,5,20.7,Ndufaf3,1000,1.41,,0.752432964,,,,,21649972,17870290,16458564,15416242,21710116,20461815,21777500,21175594,10116168,28190143,26570805,19418618,,,Complex I biogenesis
FALSE,High,Master Protein,Q9CQ22,Ragulator complex protein LAMTOR1 [OS=Mus musculus],0,25.298,57,5,36,5,17.7,Lamtor1,2.254,1.469,0.024341072,0.153213296,11652924.5,10755296,13792500.75,11520517.25,7334805.75,9502425,7054580.5,4326606,38737495,32286259,21509046,19495720.5,11364999.5,8206903.5,11005237.5,6025486,,,Neutrophil degranulation; mTORC1-mediated signalling; TP53 Regulates Metabolic Genes; RHOH GTPase cycle; RAC1 GTPase cycle; Amino acids regulate mTORC1; RHOQ GTPase cycle; Macroautophagy; RHOG GTPase cycle; Regulation of PTEN gene transcription; RAC2 GTPase cycle; RAC3 GTPase cycle; Energy dependent regulation of mTOR by LKB1-AMPK
FALSE,High,Master Protein,Q8K3A0,Iron-sulfur cluster co-chaperone protein HscB [OS=Mus musculus],0,25.291,39,7,27,7,26.6,Hscb,0.684,0.01,0.082814675,0.25277351,13472138,6377394.875,6344771,6047899.125,18306432.25,14265504.5,8440368.75,13981227,5337898,4901709,3856974.75,5361525,1751286.75,,3231236.25,,,,Complex I biogenesis; Mitochondrial protein import; Mitochondrial iron-sulfur cluster biogenesis; Complex III assembly
FALSE,High,Master Protein,Q3UHX2,28 kDa heat- and acid-stable phosphoprotein [OS=Mus musculus],0,25.289,23,3,28,3,20.6,Pdap1,3.373,8.259,0.003321386,0.139080879,9448188.75,8685959.375,4818805.5,5686037.25,2619289.5,3449195.25,424262.2813,,28765714,25004960,27118444.75,21250200,7801364.813,8495757.625,9715410.625,11360620.63,,,Neutrophil degranulation
FALSE,High,Master Protein,Q8K268,ATP-binding cassette sub-family F member 3 [OS=Mus musculus],0,25.263,17,8,30,8,79.8,Abcf3,1000,1000,,,,,,,,,,,12615579.25,11431359.5,12766027.25,10401270.5,1235557.5,3568300.375,1443494.25,1217015.75,,,
FALSE,High,Master Protein,Q61703,Inter-alpha-trypsin inhibitor heavy chain H2 [OS=Mus musculus],0,25.251,11,8,35,8,105.9,Itih2,1000,1000,,,,,,,,,,,20824447.25,21694362.25,15708937,29898563.5,5058666.875,12583172.75,3327315.875,23420560,,,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs); Post-translational protein phosphorylation
FALSE,High,Master Protein,P63325,Small ribosomal subunit protein eS10 [OS=Mus musculus],0,25.236,42,6,52,6,18.9,Rps10,2.341,2.031,0.000304383,0.015383257,55103235,47510812,48116492.5,58009849.5,8640344,11275529,5319794.5,20514632,128381506,111791706,125861960,122242462,17512164,20200207.5,19916829.5,41766125,,Cytoplasmic ribosomal proteins,"L13a-mediated translational silencing of Ceruloplasmin expression; SRP-dependent cotranslational protein targeting to membrane; Major pathway of rRNA processing in the nucleolus and cytosol; Formation of a pool of free 40S subunits; GTP hydrolysis and joining of the 60S ribosomal subunit; Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC); Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA; ZNF598 and the Ribosome-associated Quality Trigger (RQT) complex dissociate a ribosome stalled on a no-go mRNA; Translation initiation complex formation; Formation of the ternary complex, and subsequently, the 43S complex; Ribosomal scanning and start codon recognition"
FALSE,High,Master Protein,P56375,Acylphosphatase-2 [OS=Mus musculus],0,25.226,57,6,101,6,11.9,Acyp2,1.324,0.685,0.005334858,0.013305945,97428758,95323000,91355362,115940047,138387713,151093254,127316613,181640596,128882465,126349684,143317944.8,151176080,79183898.13,96341321.38,101161680,133663704.1,,,
FALSE,High,Master Protein,Q4U4S6,Xin actin-binding repeat-containing protein 2 [OS=Mus musculus],0,25.217,3,9,19,9,428,Xirp2,1000,1000,,,,,,,,,,,2682552.5,3184394.125,781406.1875,2331583.75,3806995,,,,,,
FALSE,High,Master Protein,Q9Z127,Large neutral amino acids transporter small subunit 1 [OS=Mus musculus],0,25.175,10,5,24,5,55.8,Slc7a5,2.769,,0.000156756,,2970145.5,2030431.125,1684763.75,1639685.75,,,,,7841976.5,5332048.5,5300663.5,4759999.5,,,,,,,Amino acid transport across the plasma membrane; Basigin interactions; Tryptophan catabolism
FALSE,High,Master Protein,Q80X95,Ras-related GTP-binding protein A [OS=Mus musculus],0,25.174,24,7,34,7,36.5,Rraga,1.463,8.115,0.002862273,0.00535918,20254832,20812418,21760727,20450763.5,11298814,3574789.5,5928756.5,3707834.25,35453591,29998575,32310604.5,29467302.75,42048400,41559560,34966444,41399696,,,Amino acids regulate mTORC1; Macroautophagy; TP53 Regulates Metabolic Genes; Regulation of PTEN gene transcription; E3 ubiquitin ligases ubiquitinate target proteins; mTORC1-mediated signalling; Energy dependent regulation of mTOR by LKB1-AMPK
FALSE,High,Master Protein,Q9JK92,Heat shock protein beta-8 [OS=Mus musculus],0,25.156,35,6,60,6,21.5,Hspb8,2.335,1.684,0.005964112,0.007686742,30525758,28027559,18804211,25533464.5,12908377.5,12376644.25,16504118.25,16896601.75,83088439,51283245,57412179.5,51151845,17468301,24071357,26253478,30140183,Acetyl [N-Term],,HSF1-dependent transactivation
FALSE,High,Master Protein,Q9QXT0,Protein canopy homolog 2 [OS=Mus musculus],0,25.115,39,7,38,7,20.8,Cnpy2,0.803,0.178,0.011047082,0.003784704,19021559,16696086,17172242,15133536,24542382,25035506,20872584,19049672,15870872,12890569,14892133,10965740,2849252,3399351.25,4884649,5284826.5,,,
FALSE,High,Master Protein,Q8BJ71,Nuclear pore complex protein Nup93 [OS=Mus musculus],0,25.07,13,9,30,9,93.2,Nup93,,,,,,,,,,,,,,,,,,,,,,,SUMOylation of DNA damage response and repair proteins; SUMOylation of chromatin organization proteins; SUMOylation of RNA binding proteins; Regulation of HSF1-mediated heat shock response; Transport of the SLBP independent Mature mRNA; Transport of the SLBP Dependant Mature mRNA; Transport of Mature mRNA Derived from an Intronless Transcript; Transport of Mature mRNA derived from an Intron-Containing Transcript; Regulation of Glucokinase by Glucokinase Regulatory Protein; IPs transport between nucleus and cytosol; IP3 and IP4 transport between cytosol and nucleus; IP6 and IP7 transport between cytosol and nucleus; snRNP Assembly; SUMOylation of ubiquitinylation proteins; Nuclear Pore Complex (NPC) Disassembly; SUMOylation of SUMOylation proteins; SUMOylation of DNA replication proteins; Transcriptional regulation by small RNAs; Postmitotic nuclear pore complex (NPC) reformation
FALSE,High,Master Protein,Q2NL51,Glycogen synthase kinase-3 alpha [OS=Mus musculus],0,25.007,21,7,37,4,51.6,Gsk3a,1000,1000,,,,,,,,,,,3876994.75,2969808.625,,15282842.5,5936976,5841146.5,8221523.5,15543216.38,Met-loss+Acetyl [N-Term],IL-5 signaling pathway; Chemokine signaling pathway; B cell receptor signaling pathway; Glycogen metabolism; IL-3 signaling pathway,
FALSE,High,Master Protein,P56395,Cytochrome b5 [OS=Mus musculus],0,24.982,54,6,51,6,15.2,Cyb5a,6.032,3.204,0.026951834,0.109525897,19060744,3526697.25,2814561.5,15310950.75,6171935.5,5614177.75,,3875512.25,55409618.5,44142740.5,39775118.5,42310089,14024787.25,8249756.875,15217582.88,17502955.5,Acetyl [N-Term],Oxidation by cytochrome P450,Insertion of tail-anchored proteins into the endoplasmic reticulum membrane; Vitamin C (ascorbate) metabolism
FALSE,High,Master Protein,Q8BMP6,Golgi resident protein GCP60 [OS=Mus musculus],0,24.961,15,6,29,6,60.1,Acbd3,1000,1000,,,,,,,,,,,16809255,17669054.75,16568444,15984549.5,1545497.625,1937746.25,1732402.75,6744472,,,Golgi Associated Vesicle Biogenesis
FALSE,High,Master Protein,Q8C5Q4,G-rich sequence factor 1 [OS=Mus musculus],0,24.953,20,6,32,6,53,Grsf1,1000,1000,,,,,,,,,,,4156254.75,3019675.75,5722861,7854564.75,2347725.25,2848190.75,3791953.5,8058649,,Mechanisms associated with pluripotency; mRNA processing,
FALSE,High,Master Protein,P56135,"ATP synthase F(0) complex subunit f, mitochondrial [OS=Mus musculus]",0,24.942,35,4,141,4,10.3,Atp5mf,,,,,,,,,,,,,,,,,,,,,Met-loss+Acetyl [N-Term]; Acetyl [N-Term],Oxidative phosphorylation; Electron transport chain,Formation of ATP by chemiosmotic coupling; Cristae formation
FALSE,High,Master Protein,Q5SRX1,TOM1-like protein 2 [OS=Mus musculus],0,24.911,20,5,25,5,55.6,Tom1l2,1000,1000,,,,,,,,,,,6746046,9232678,7382630.5,7372271,4113882,6928633.5,7283452,8174521.5,,,
FALSE,High,Master Protein,Q3UBX0,Voltage-gated monoatomic cation channel TMEM109 [OS=Mus musculus],0,24.86,25,5,51,5,26.3,Tmem109,1.684,0.892,0.108905974,0.549554847,9456701.75,20370305.25,16113429,11249629,14186201.38,18503547.5,16457566.75,20844368,20510349.5,19836688,21072638,24438814,12338885.5,14399009.5,20360597,19070239.5,,,
FALSE,High,Master Protein,Q80X50,Ubiquitin-associated protein 2-like [OS=Mus musculus],0,24.853,10,7,38,7,116.7,Ubap2l,1000,1000,,,,,,,,,,,18778449,14933745.75,19027271.13,21241139.75,5367104.5,,,13520355,,,
